Date,Close,Average,Volume
1957/1/1,0.717,0.569,135898700
1957/2/1,-1.198,0.319,156998100
1957/3/1,-3.49,0.481,106070300
1957/4/1,1.13,0.329,92681400
1957/5/1,6.061,0.211,148501500
1957/6/1,10.484,0.639,159498500
1957/7/1,16.333,0.588,209649300
1957/8/1,14.976,0.608,127589000
1957/9/1,10.269,0.439,136520300
1957/10/1,7.485,0.395,115003700
1957/11/1,3.636,0.385,108125500
1957/12/1,0.732,0.507,137442900
1958/1/1,-3.874,0.362,97259400
1958/2/1,-6.652,0.436,119156100
1958/3/1,-5.797,0.351,186021500
1958/4/1,0.361,0.383,136682700
1958/5/1,6.064,0.59,176786400
1958/6/1,11.018,0.595,139631800
1958/7/1,14.556,0.579,164081400
1958/8/1,14.468,0.573,254608200
1958/9/1,12.494,0.346,127500800
1958/10/1,8.711,0.309,90324500
1958/11/1,5.742,0.334,149843400
1958/12/1,-1.44,0.554,132283900
1959/1/1,-3.28,1.058,93729300
1959/2/1,-0.358,0.88,198412200
1959/3/1,1.622,0.914,264036500
1959/4/1,3.787,0.578,232478400
1959/5/1,7.711,0.363,128950500
1959/6/1,12.857,0.633,133237300
1959/7/1,17.125,0.365,119292600
1959/8/1,17.333,0.358,197477700
1959/9/1,10.978,0.439,316723400
1959/10/1,7.32,0.279,205829400
1959/11/1,4.512,0.216,160688500
1959/12/1,-0.036,0.626,93250500
1960/1/1,-4.38,0.43,68206600
1960/2/1,-5.233,0.382,157644900
1960/3/1,-2.362,0.638,133332500
1960/4/1,1.922,0.45,130216100
1960/5/1,8.495,0.287,128674700
1960/6/1,13.968,0.693,97829900
1960/7/1,15.9,0.585,91070000
1960/8/1,15.233,0.529,139267100
1960/9/1,11.886,0.285,261159500
1960/10/1,5.648,0.691,294303100
1960/11/1,3.318,0.454,196760200
1960/12/1,2.19,0.6,157621100
1961/1/1,-1.463,0.693,148086400
1961/2/1,1.178,0.663,121786000
1961/3/1,2.396,0.42,156314900
1961/4/1,3.051,0.661,252394800
1961/5/1,7.503,0.622,189401800
1961/6/1,14.418,0.571,156421300
1961/7/1,14.774,0.491,112342300
1961/8/1,14.178,0.284,120422400
1961/9/1,12.177,0.214,149067100
1961/10/1,11.143,0.387,43938300
1961/11/1,4.758,0.338,75609100
1961/12/1,-2.116,0.606,113780100
1962/1/1,-0.879,0.452,88569600
1962/2/1,-2.087,0.29,164873100
1962/3/1,-5.906,0.532,140129500
1962/4/1,2.79,0.194,88241300
1962/5/1,6.054,0.166,148583400
1962/6/1,10.916,0.996,121039100
1962/7/1,13.631,0.412,114676800
1962/8/1,13.364,0.365,101901100
1962/9/1,10.569,0.143,150286500
1962/10/1,8.217,0.46,87626700
1962/11/1,3.145,0.456,183551900
1962/12/1,-2.328,0.783,219193100
1963/1/1,-6.288,0.981,172701200
1963/2/1,-8.085,0.587,113419600
1963/3/1,-5.51,0.558,118230700
1963/4/1,1.452,0.743,115386600
1963/5/1,9.56,0.433,215377400
1963/6/1,12.573,0.546,365213100
